"Date";"close_price";"Signal"
"2017-05-11";499.25;"HOLD"
"2017-05-12";515.9;"HOLD"
"2017-05-15";524.65;"HOLD"
"2017-05-16";532.8;"HOLD"
"2017-05-17";532.75;"HOLD"
"2017-05-18";529.65;"HOLD"
"2017-05-19";525.1;"HOLD"
"2017-05-22";526.55;"HOLD"
"2017-05-23";525.15;"HOLD"
"2017-05-24";523.6;"HOLD"
"2017-05-25";541.95;"HOLD"
"2017-05-26";534.0;"HOLD"
"2017-05-29";533.9;"HOLD"
"2017-05-30";540.45;"HOLD"
"2017-05-31";538.1;"HOLD"
"2017-06-01";534.95;"HOLD"
"2017-06-02";541.55;"HOLD"
"2017-06-05";542.15;"HOLD"
"2017-06-06";536.1;"HOLD"
"2017-06-07";536.15;"HOLD"
"2017-06-08";543.75;"HOLD"
"2017-06-09";551.65;"HOLD"
"2017-06-12";552.25;"HOLD"
"2017-06-13";555.75;"HOLD"
"2017-06-14";545.8;"HOLD"
"2017-06-15";542.0;"HOLD"
"2017-06-16";550.2;"HOLD"
"2017-06-19";551.05;"HOLD"
"2017-06-20";549.2;"HOLD"
"2017-06-21";544.95;"HOLD"
"2017-06-22";542.1;"HOLD"
"2017-06-23";536.55;"HOLD"
"2017-06-27";533.1;"HOLD"
"2017-06-28";535.35;"HOLD"
"2017-06-29";544.6;"HOLD"
"2017-06-30";549.45;"HOLD"
"2017-07-03";552.1;"HOLD"
"2017-07-04";550.55;"HOLD"
"2017-07-05";547.35;"HOLD"
"2017-07-06";553.7;"HOLD"
"2017-07-07";572.1;"HOLD"
"2017-07-10";569.45;"HOLD"
"2017-07-11";566.0;"HOLD"
"2017-07-12";564.25;"HOLD"
"2017-07-13";571.5;"HOLD"
"2017-07-14";569.4;"HOLD"
"2017-07-17";572.1;"HOLD"
"2017-07-18";571.5;"HOLD"
"2017-07-19";573.65;"HOLD"
"2017-07-20";572.4;"HOLD"
"2017-07-21";570.65;"HOLD"
"2017-07-24";576.95;"HOLD"
"2017-07-25";570.3;"HOLD"
"2017-07-26";570.9;"HOLD"
"2017-07-27";573.55;"HOLD"
"2017-07-28";582.55;"HOLD"
"2017-07-31";582.15;"HOLD"
"2017-08-01";596.6;"HOLD"
"2017-08-02";590.65;"HOLD"
"2017-08-03";586.6;"HOLD"
"2017-08-04";599.0;"HOLD"
"2017-08-07";602.6;"HOLD"
"2017-08-08";595.5;"HOLD"
"2017-08-09";589.95;"HOLD"
"2017-08-10";578.3;"HOLD"
"2017-08-11";536.4;"HOLD"
"2017-08-14";553.75;"HOLD"
"2017-08-16";585.75;"HOLD"
"2017-08-17";581.0;"HOLD"
"2017-08-18";583.8;"HOLD"
"2017-08-21";575.15;"HOLD"
"2017-08-22";582.25;"HOLD"
"2017-08-23";584.25;"HOLD"
"2017-08-24";593.4;"HOLD"
"2017-08-28";603.95;"HOLD"
"2017-08-29";594.75;"HOLD"
"2017-08-30";611.5;"HOLD"
"2017-08-31";604.2;"HOLD"
"2017-09-01";608.55;"HOLD"
"2017-09-04";613.8;"HOLD"
"2017-09-05";612.65;"HOLD"
"2017-09-06";618.75;"HOLD"
"2017-09-07";632.5;"HOLD"
"2017-09-08";635.4;"HOLD"
"2017-09-11";639.3;"HOLD"
"2017-09-12";641.3;"HOLD"
"2017-09-13";638.0;"HOLD"
"2017-09-14";641.05;"HOLD"
"2017-09-15";649.95;"HOLD"
"2017-09-18";663.65;"HOLD"
"2017-09-19";659.35;"HOLD"
"2017-09-20";655.2;"HOLD"
"2017-09-21";650.4;"HOLD"
"2017-09-22";634.25;"HOLD"
"2017-09-25";641.9;"HOLD"
"2017-09-26";647.85;"HOLD"
"2017-09-27";644.6;"HOLD"
"2017-09-28";644.0;"HOLD"
"2017-09-29";658.5;"HOLD"
"2017-10-03";654.65;"HOLD"
"2017-10-04";653.8;"HOLD"
"2017-10-05";655.05;"HOLD"
"2017-10-06";659.65;"HOLD"
"2017-10-09";675.85;"HOLD"
"2017-10-10";685.8;"HOLD"
"2017-10-11";683.15;"HOLD"
"2017-10-12";696.45;"HOLD"
"2017-10-13";699.0;"HOLD"
